### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0036 -- NIRSPEC-3 Filter, dispersion order 62
### lambda (microns)   Flambda (Normalized)
       1.2334850      0.54453658
       1.2335026      0.54023997
       1.2335201      0.54616321
       1.2335376      0.55608174
       1.2335551      0.55101167
       1.2335725      0.56131930
       1.2335901      0.56868597
       1.2336076      0.58026587
       1.2336251      0.58789657
       1.2336426      0.60399762
       1.2336601      0.61425369
       1.2336777      0.62981205
       1.2336952      0.63815550
       1.2337127      0.65421560
       1.2337301      0.66510688
       1.2337476      0.68442061
       1.2337652      0.68674208
       1.2337827      0.68591816
       1.2338002      0.70762101
       1.2338177      0.71222957
       1.2338353      0.72309964
       1.2338528      0.72304918
       1.2338703      0.74238997
       1.2338877      0.75028910
       1.2339052      0.74752074
       1.2339228      0.81024567
       1.2339403      0.80207592
       1.2339578      0.74879338
       1.2339753      0.75009528
       1.2339929      0.73440051
       1.2340104      0.72507369
       1.2340278      0.71480080
       1.2340453      0.70898471
       1.2340628      0.70802950
       1.2340804      0.69707385
       1.2340979      0.70069867
       1.2341154      0.70233298
       1.2341329      0.70761991
       1.2341505      0.70908454
       1.2341679      0.71389131
       1.2341853      0.71255723
       1.2342028      0.71735559
       1.2342203      0.71157130
       1.2342379      0.71135956
       1.2342554      0.69752073
       1.2342729      0.69495425
       1.2342904      0.69206046
       1.2343080      0.68425971
       1.2343255      0.68017776
       1.2343429      0.68310775
       1.2343604      0.68904014
       1.2343779      0.68146612
       1.2343955      0.69407583
       1.2344130      0.69445543
       1.2344305      0.70484681
       1.2344480      0.70803279
       1.2344655      0.72400182
       1.2344830      0.72361565
       1.2345005      0.72849665
       1.2345180      0.73558794
       1.2345355      0.74196941
       1.2345530      0.73429702
       1.2345706      0.73455301
       1.2345881      0.71726636
       1.2346056      0.70061968
       1.2346231      0.67628195
       1.2346405      0.65634105
       1.2346581      0.63374662
       1.2346756      0.59991165
       1.2346931      0.57558527
       1.2347106      0.55058197
       1.2347282      0.53948041
       1.2347457      0.52726675
       1.2347632      0.52137275
       1.2347807      0.52027273
       1.2347981      0.52721408
       1.2348157      0.53273360
       1.2348332      0.54730968
       1.2348507      0.56398160
       1.2348682      0.57523456
       1.2348858      0.59788385
       1.2349033      0.61705130
       1.2349208      0.63210938
       1.2349382      0.65180051
       1.2349557      0.67419051
       1.2349733      0.69193941
       1.2349908      0.69700144
       1.2350083      0.69682151
       1.2350258      0.70223022
       1.2350434      0.70324577
       1.2350609      0.70282156
       1.2350784      0.69525120
       1.2350958      0.69092021
       1.2351133      0.69405718
       1.2351309      0.68395910
       1.2351484      0.69475055
       1.2351659      0.69425101
       1.2351834      0.69864197
       1.2352009      0.70016328
       1.2352185      0.71041130
       1.2352360      0.71028952
       1.2352534      0.71465416
       1.2352709      0.70412491
       1.2352884      0.70515034
       1.2353060      0.69739091
       1.2353235      0.69888077
       1.2353410      0.68835226
       1.2353585      0.67957582
       1.2353761      0.67581239
       1.2353934      0.68470769
       1.2354109      0.67978500
       1.2354284      0.67304002
       1.2354459      0.68141017
       1.2354635      0.68901856
       1.2354810      0.70086835
       1.2354985      0.70931786
       1.2355160      0.71400138
       1.2355336      0.72604316
       1.2355510      0.73244146
       1.2355685      0.74353461
       1.2355860      0.76228772
       1.2356035      0.77024902
       1.2356211      0.76960173
       1.2356386      0.77837123
       1.2356561      0.77468497
       1.2356736      0.77845534
       1.2356912      0.77443629
       1.2357086      0.76370298
       1.2357261      0.75042441
       1.2357436      0.74526072
       1.2357611      0.72563870
       1.2357787      0.71815354
       1.2357962      0.70316129
       1.2358137      0.69353862
       1.2358312      0.67923681
       1.2358486      0.66361080
       1.2358662      0.64577962
       1.2358837      0.64049891
       1.2359012      0.62691826
       1.2359187      0.61802699
       1.2359363      0.60444378
       1.2359538      0.58592471
       1.2359713      0.57674746
       1.2359888      0.56837951
       1.2360062      0.55002501
       1.2360237      0.54598695
       1.2360413      0.54416356
       1.2360588      0.54345301
       1.2360763      0.53613644
       1.2360938      0.53968483
       1.2361114      0.55401882
       1.2361289      0.55397165
       1.2361464      0.56812425
       1.2361638      0.58368224
       1.2361813      0.59682661
       1.2361989      0.60939756
       1.2362164      0.62302136
       1.2362339      0.64292313
       1.2362514      0.66241716
       1.2362690      0.67891719
       1.2362865      0.68864445
       1.2363039      0.71282017
       1.2363214      0.73353380
       1.2363389      0.73992149
       1.2363565      0.74966009
       1.2363740      0.75260764
       1.2363915      0.75435934
       1.2364090      0.74371380
       1.2364266      0.73996684
       1.2364441      0.72966872
       1.2364615      0.72213712
       1.2364790      0.71421678
       1.2364965      0.70862157
       1.2365141      0.69476006
       1.2365316      0.68854681
       1.2365491      0.68623559
